2
Frequency=870(MHz)

Phi	Theta	Gain . dB
0	-3.1415926536	-17.1070944069071
0	-3.0917261035	-16.1273130790298
0	-3.0418595535	-14.0568183610138
0	-2.9919930034	-12.0463667383215
0	-2.9421264534	-10.3777557819785
0	-2.8922599033	-9.04238377751801
0	-2.8423933532	-7.98127920576273
0	-2.7925268032	-7.13908448879739
0	-2.7426602531	-6.46911236114756
0	-2.6927937031	-5.93556560287231
0	-2.642927153	-5.50748314950217
0	-2.593060603	-5.16081590864086
0	-2.5431940529	-4.87692578129737
0	-2.4933275028	-4.63311274806467
0	-2.4434609528	-4.41762145261506
0	-2.3935944027	-4.21365463202587
0	-2.3437278527	-4.01111609533377
0	-2.2938613026	-3.79997711526124
0	-2.2439947526	-3.57458820511272
0	-2.1941282025	-3.32991561992098
0	-2.1442616525	-3.06467067424513
0	-2.0943951024	-2.7827483871091
0	-2.0445285523	-2.48714476045926
0	-1.9946620023	-2.18425449449716
0	-1.9447954522	-1.88320238200849
0	-1.8949289022	-1.58864305526254
0	-1.8450623521	-1.30853194109969
0	-1.7951958021	-1.04905657581688
0	-1.745329252	-0.812756853071937
0	-1.6954627019	-0.60262866416094
0	-1.6455961519	-0.41903883303215
0	-1.5957296018	-0.26243711698604
0	-1.5458630518	-0.130714437560843
0	-1.4959965017	-0.0225809269461109
0	-1.4461299517	0.0610589909259636
0	-1.3962634016	0.124681858602431
0	-1.3463968515	0.164329658711941
0	-1.2965303015	0.181765197458989
0	-1.2466637514	0.171708269405731
0	-1.1967972014	0.132805804744592
0	-1.1469306513	0.0582557730319262
0	-1.0970641013	-0.055117415298614
0	-1.0471975512	-0.213189563441067
0	-0.9973310011	-0.420353857372558
0	-0.9474644511	-0.68025485962136
0	-0.897597901	-0.996467246242805
0	-0.847731351	-1.36839239492979
0	-0.7978648009	-1.79626108653202
0	-0.7479982509	-2.28034270875719
0	-0.6981317008	-2.81424176853383
0	-0.6482651507	-3.39359771662763
0	-0.5983986007	-4.01150126845089
0	-0.5485320506	-4.65946546621496
0	-0.49866550057	-5.32913168474376
0	-0.44879895051	-6.01099503533455
0	-0.39893240046	-6.69529619040432
0	-0.3490658504	-7.37230795267827
0	-0.29919930034	-8.02593079971355
0	-0.24933275028	-8.6386375205539
0	-0.19946620023	-9.17670173717697
0	-0.14959965017	-9.60226727808801
0	-0.09973310011	-9.86572294354706
0	-0.049866550057	-9.9252096652336
0	0	-9.76412054494875
0	0.049866550057	-9.39536435109407
0	0.09973310011	-8.86184500590118
0	0.14959965017	-8.2222504969428
0	0.19946620023	-7.53083793299053
0	0.24933275028	-6.82922196286688
0	0.29919930034	-6.14337647348838
0	0.3490658504	-5.49132857491486
0	0.39893240046	-4.87928763513267
0	0.44879895051	-4.30768675563589
0	0.49866550057	-3.77588076429005
0	0.5485320506	-3.28170492341184
0	0.5983986007	-2.81649370381564
0	0.6482651507	-2.37878527254569
0	0.6981317008	-1.96573434298736
0	0.7479982509	-1.57740137710627
0	0.7978648009	-1.21332091426216
0	0.847731351	-0.87716254899387
0	0.897597901	-0.572119969395111
0	0.9474644511	-0.302464580857586
0	0.9973310011	-0.0734859218663815
0	1.0471975512	0.112306750127744
0	1.0970641013	0.250135448213832
0	1.1469306513	0.349581036364959
0	1.1967972014	0.401537159430681
0	1.2466637514	0.412014711719436
0	1.2965303015	0.384972823499167
0	1.3463968515	0.327902042021274
0	1.3962634016	0.245072565479765
0	1.4461299517	0.146485525041921
0	1.4959965017	0.0373274577994746
0	1.5458630518	-0.0755617510115592
0	1.5957296018	-0.186934115515353
0	1.6455961519	-0.293320198244561
0	1.6954627019	-0.392437652289183
0	1.745329252	-0.483589660874805
0	1.7951958021	-0.567900989950885
0	1.8450623521	-0.648105100709164
0	1.8949289022	-0.726171854878805
0	1.9447954522	-0.806724437231409
0	1.9946620023	-0.89528218449588
0	2.0445285523	-0.99526780351575
0	2.0943951024	-1.11026319675433
0	2.1442616525	-1.2446335702269
0	2.1941282025	-1.40159386344401
