2
Frequency=2440(MHz)

Phi	Theta	Gain . dB
0	-3.1415926536	-4.28128064563714
0	-3.0917261035	-4.69629717130419
0	-3.0418595535	-4.28989884428873
0	-2.9919930034	-3.38861388770749
0	-2.9421264534	-2.43620075657271
0	-2.8922599033	-1.66560996431392
0	-2.8423933532	-1.1414276027341
0	-2.7925268032	-0.856981428107108
0	-2.7426602531	-0.787519327615943
0	-2.6927937031	-0.922428105077606
0	-2.642927153	-1.26970105522071
0	-2.593060603	-1.87654911385555
0	-2.5431940529	-2.82041740440775
0	-2.4933275028	-4.20956350445772
0	-2.4434609528	-6.12857662659244
0	-2.3935944027	-8.34491921661712
0	-2.3437278527	-9.3760962679805
0	-2.2938613026	-7.81566875463846
0	-2.2439947526	-5.43077357964929
0	-2.1941282025	-3.53839625195299
0	-2.1442616525	-2.35641168720423
0	-2.0943951024	-1.87346398009158
0	-2.0445285523	-2.09155557077667
0	-1.9946620023	-3.06972554986105
0	-1.9447954522	-4.90501669575016
0	-1.8949289022	-7.43934047053341
0	-1.8450623521	-8.6637709011409
0	-1.7951958021	-6.36624995979625
0	-1.745329252	-3.42284376644269
0	-1.6954627019	-1.27163064738006
0	-1.6455961519	0.0516320861487606
0	-1.5957296018	0.656554040277566
0	-1.5458630518	0.603751758865495
0	-1.4959965017	-0.0780186849617712
0	-1.4461299517	-1.36216220510368
0	-1.3962634016	-3.03659775459884
0	-1.3463968515	-4.27809089707419
0	-1.2965303015	-3.91823359651027
0	-1.2466637514	-2.41464403384018
0	-1.1967972014	-0.970309601423958
0	-1.1469306513	-0.0704909757804769
0	-1.0970641013	0.200592289750023
0	-1.0471975512	-0.140848045835015
0	-0.9973310011	-0.996181365687451
0	-0.9474644511	-2.01362850106228
0	-0.897597901	-2.34748912978464
0	-0.847731351	-1.33873493513681
0	-0.7978648009	0.412818209108207
0	-0.7479982509	2.09451808022255
0	-0.6981317008	3.3997338091204
0	-0.6482651507	4.29265084439534
0	-0.5983986007	4.81321498884195
0	-0.5485320506	5.01461276478998
0	-0.49866550057	4.96551210782561
0	-0.44879895051	4.70704284209536
0	-0.39893240046	4.28234848774158
0	-0.3490658504	3.69909374976089
0	-0.29919930034	2.91777266256883
0	-0.24933275028	1.84469568608701
0	-0.19946620023	0.34226212314741
0	-0.14959965017	-1.79880161466675
0	-0.09973310011	-4.79365367607299
0	-0.049866550057	-7.95105943552547
0	0	-7.2835885199521
0	0.049866550057	-3.90978793550825
0	0.09973310011	-1.15790025113553
0	0.14959965017	0.730566760798689
0	0.19946620023	1.97617400570402
0	0.24933275028	2.77034555337049
0	0.29919930034	3.26896882473254
0	0.3490658504	3.59510909167225
0	0.39893240046	3.85263048337519
0	0.44879895051	4.06862813564776
0	0.49866550057	4.23230613300803
0	0.5485320506	4.25311916845262
0	0.5983986007	4.04918412983235
0	0.6482651507	3.51784208160183
0	0.6981317008	2.56535245263862
0	0.7479982509	1.10115739719551
0	0.7978648009	-0.936866015775451
0	0.847731351	-3.36879546043187
0	0.897597901	-5.08065126769133
0	0.9474644511	-4.59548838746873
0	0.9973310011	-3.0204028111414
0	1.0471975512	-1.79245128798536
0	1.0970641013	-1.28797612150967
0	1.1469306513	-1.55629669356959
0	1.1967972014	-2.60956742616258
0	1.2466637514	-4.39366477107725
0	1.2965303015	-6.30966191328935
0	1.3463968515	-6.48088732641587
0	1.3962634016	-4.57112944447341
0	1.4461299517	-2.51750222682157
0	1.4959965017	-1.1214285377203
0	1.5458630518	-0.470330055226304
0	1.5957296018	-0.554871704978897
0	1.6455961519	-1.42161957243796
0	1.6954627019	-3.236722138104
0	1.745329252	-6.45100097469736
0	1.7951958021	-12.3872540716828
0	1.8450623521	-18.162689506731
0	1.8949289022	-10.1994290485408
0	1.9447954522	-6.01374690480301
0	1.9946620023	-3.87936495248486
0	2.0445285523	-2.93975420054216
0	2.0943951024	-2.90092668386577
0	2.1442616525	-3.68663635052541
0	2.1941282025	-5.36903700430549
0	2.2439947526	-8.1939655687727
0	2.2938613026	-12.5888583249223
0	2.3437278527	-16.2452432150489
0	2.3935944027	-12.565423813897
0	2.4434609528	-8.83938954444903
0	2.4933275028	-6.46976528841957
0	2.5431940529	-4.90545792645446
0	2.593060603	-3.77582319222702
0	2.642927153	-2.85627058137046
0	2.6927937031	-2.04354910480541
0	2.7426602531	-1.33174507789702
0	2.7925268032	-0.770321342335855
0	2.8423933532	-0.430811651976406
0	2.8922599033	-0.370488524303126
0	2.9421264534	-0.631306090843057
0	2.9919930034	-1.23143344954523
0	3.0418595535	-2.15025738415537
0	3.0917261035	-3.27002295798145
0	3.1415926536	-4.28128064563714
0.049087385212	-3.1415926536	-4.28118998323938
0.049087385212	-3.0917261035	-4.78371979280421
0.049087385212	-3.0418595535	-4.45064453885104
0.049087385212	-2.9919930034	-3.58314206913852
0.049087385212	-2.9421264534	-2.64158172112857
0.049087385212	-2.8922599033	-1.88428418694007
0.049087385212	-2.8423933532	-1.38640087486118
0.049087385212	-2.7925268032	-1.14826038265624
0.049087385212	-2.7426602531	-1.1471452050806
0.049087385212	-2.6927937031	-1.3717380141176
0.049087385212	-2.642927153	-1.83450154233697
0.049087385212	-2.593060603	-2.58957559269383
0.049087385212	-2.5431940529	-3.73483255075802
0.049087385212	-2.4933275028	-5.43242404738627
0.049087385212	-2.4434609528	-7.86813547013637
0.049087385212	-2.3935944027	-10.8247977910556
0.049087385212	-2.3437278527	-11.55785594713
0.049087385212	-2.2938613026	-8.67407369212307
0.049087385212	-2.2439947526	-5.72345292897954
0.049087385212	-2.1941282025	-3.68062903605885
0.049087385212	-2.1442616525	-2.48233966945448
0.049087385212	-2.0943951024	-2.03599067862299
0.049087385212	-2.0445285523	-2.33246629065545
0.049087385212	-1.9946620023	-3.44962708440382
0.049087385212	-1.9447954522	-5.55867694975894
0.049087385212	-1.8949289022	-8.61533881538419
0.049087385212	-1.8450623521	-9.93419134203354
0.049087385212	-1.7951958021	-6.81057466322711
0.049087385212	-1.745329252	-3.51977489138511
0.049087385212	-1.6954627019	-1.27913881692406
0.049087385212	-1.6455961519	0.0581987522044297
0.049087385212	-1.5957296018	0.643830648879478
0.049087385212	-1.5458630518	0.561196316385074
0.049087385212	-1.4959965017	-0.174087106618793
0.049087385212	-1.4461299517	-1.53813009092198
0.049087385212	-1.3962634016	-3.31879886661003
0.049087385212	-1.3463968515	-4.6058421236058
0.049087385212	-1.2965303015	-4.12307419555865
0.049087385212	-1.2466637514	-2.48549297150902
0.049087385212	-1.1967972014	-0.986836703910086
0.049087385212	-1.1469306513	-0.0799007088468889
0.049087385212	-1.0970641013	0.171322423479061
0.049087385212	-1.0471975512	-0.208229190344262
0.049087385212	-0.9973310011	-1.12120462378203
0.049087385212	-0.9474644511	-2.1962081846878
0.049087385212	-0.897597901	-2.51385300332726
0.049087385212	-0.847731351	-1.39972424811193
0.049087385212	-0.7978648009	0.44296090681943
0.049087385212	-0.7479982509	2.17154416207695
0.049087385212	-0.6981317008	3.50116981928196
0.049087385212	-0.6482651507	4.40578521639368
0.049087385212	-0.5983986007	4.92939356214023
0.049087385212	-0.5485320506	5.14066515486466
0.049087385212	-0.49866550057	5.09112450305397
0.049087385212	-0.44879895051	4.83557099613736
0.049087385212	-0.39893240046	4.40053720297821
0.049087385212	-0.3490658504	3.79600724365265
0.049087385212	-0.29919930034	2.97670419440737
0.049087385212	-0.24933275028	1.85612635669087
0.049087385212	-0.19946620023	0.284335862406537
0.049087385212	-0.14959965017	-1.95637808901917
0.049087385212	-0.09973310011	-5.10161456748652
0.049087385212	-0.049866550057	-8.32902357942877
0.049087385212	0	-7.28188252425065
0.049087385212	0.049866550057	-3.78135358031845
0.049087385212	0.09973310011	-1.0516882014808
0.049087385212	0.14959965017	0.799291769961533
0.049087385212	0.19946620023	2.01358909771805
0.049087385212	0.24933275028	2.7877917038273
0.049087385212	0.29919930034	3.27422966795838
0.049087385212	0.3490658504	3.61281830682671
0.049087385212	0.39893240046	3.88481932382337
0.049087385212	0.44879895051	4.12771553214837
0.049087385212	0.49866550057	4.3085201664822
0.049087385212	0.5485320506	4.34830611657087
0.049087385212	0.5983986007	4.14444219890446
0.049087385212	0.6482651507	3.61479861163533
0.049087385212	0.6981317008	2.66327029018838
0.049087385212	0.7479982509	1.20440464047759
0.049087385212	0.7978648009	-0.82226766857796
0.049087385212	0.847731351	-3.22618157675638
0.049087385212	0.897597901	-4.92287579559459
0.049087385212	0.9474644511	-4.4911098472855
0.049087385212	0.9973310011	-2.97858115757956
0.049087385212	1.0471975512	-1.78946178725867
0.049087385212	1.0970641013	-1.31059142889489
0.049087385212	1.1469306513	-1.59701352919536
0.049087385212	1.1967972014	-2.65777035102842
0.049087385212	1.2466637514	-4.42823054882859
0.049087385212	1.2965303015	-6.28063609778188
0.049087385212	1.3463968515	-6.38139137031783
0.049087385212	1.3962634016	-4.49848757292629
0.049087385212	1.4461299517	-2.49382313991752
0.049087385212	1.4959965017	-1.13558705003203
0.049087385212	1.5458630518	-0.511793327688993
0.049087385212	1.5957296018	-0.617833719990022
0.049087385212	1.6455961519	-1.50021223877514
0.049087385212	1.6954627019	-3.32786479116095
0.049087385212	1.745329252	-6.54676986624026
0.049087385212	1.7951958021	-12.433216224696
0.049087385212	1.8450623521	-17.9314567884944
0.049087385212	1.8949289022	-10.2572911554446
0.049087385212	1.9447954522	-6.12235638555288
0.049087385212	1.9946620023	-4.00344551498941
0.049087385212	2.0445285523	-3.06937926993696
0.049087385212	2.0943951024	-3.02552184452786
0.049087385212	2.1442616525	-3.78893648904988
0.049087385212	2.1941282025	-5.40478846917037
0.049087385212	2.2439947526	-8.03352735556173
0.049087385212	2.2938613026	-11.7365157157247
0.049087385212	2.3437278527	-14.2015036534881
0.049087385212	2.3935944027	-11.717203742991
0.049087385212	2.4434609528	-8.66151343556048
0.049087385212	2.4933275028	-6.53839233016731
0.049087385212	2.5431940529	-5.08489803393911
0.049087385212	2.593060603	-3.99992139546515
0.049087385212	2.642927153	-3.08253415342947
0.049087385212	2.6927937031	-2.23938867227589
0.049087385212	2.7426602531	-1.47991287926333
0.049087385212	2.7925268032	-0.870202243803044
0.049087385212	2.8423933532	-0.483361489719199
0.049087385212	2.8922599033	-0.383640473216564
0.049087385212	2.9421264534	-0.610677678049076
0.049087385212	2.9919930034	-1.18550574383157
0.049087385212	3.0418595535	-2.09130459522466
0.049087385212	3.0917261035	-3.22022896005392
0.049087385212	3.1415926536	-4.28118998323938
0.09817477042	-3.1415926536	-4.28047678991119
0.09817477042	-3.0917261035	-4.87069241938258
0.09817477042	-3.0418595535	-4.61943239864086
0.09817477042	-2.9919930034	-3.78918839782408
0.09817477042	-2.9421264534	-2.85816853824354
0.09817477042	-2.8922599033	-2.10889730287864
0.09817477042	-2.8423933532	-1.628471814311
0.09817477042	-2.7925268032	-1.42360807401495
0.09817477042	-2.7426602531	-1.47408470947074
0.09817477042	-2.6927937031	-1.77229240609573
0.09817477042	-2.642927153	-2.33199774455639
0.09817477042	-2.593060603	-3.21876588282643
0.09817477042	-2.5431940529	-4.55899422943468
0.09817477042	-2.4933275028	-6.58798708781608
0.09817477042	-2.4434609528	-9.7141415611469
0.09817477042	-2.3935944027	-14.0650727361436
0.09817477042	-2.3437278527	-14.0123958010753
0.09817477042	-2.2938613026	-9.32186827851845
0.09817477042	-2.2439947526	-5.91476953910545
0.09817477042	-2.1941282025	-3.77790332317256
0.09817477042	-2.1442616525	-2.57741983598345
0.09817477042	-2.0943951024	-2.16738858207515
0.09817477042	-2.0445285523	-2.53438260772249
0.09817477042	-1.9946620023	-3.78276599352988
0.09817477042	-1.9447954522	-6.16738025872812
0.09817477042	-1.8949289022	-9.86391994092961
0.09817477042	-1.8450623521	-11.3126107841282
0.09817477042	-1.7951958021	-7.19784281148928
0.09817477042	-1.745329252	-3.59696663314618
0.09817477042	-1.6954627019	-1.28420924402239
0.09817477042	-1.6455961519	0.0617709036714921
0.09817477042	-1.5957296018	0.635538862623622
0.09817477042	-1.5458630518	0.519879558501116
0.09817477042	-1.4959965017	-0.259768262361164
0.09817477042	-1.4461299517	-1.69458378797648
0.09817477042	-1.3962634016	-3.57002421026153
0.09817477042	-1.3463968515	-4.89890596318772
0.09817477042	-1.2965303015	-4.30411708459319
0.09817477042	-1.2466637514	-2.55542879830514
0.09817477042	-1.1967972014	-1.01467515002684
