2
Frequency=858(MHz)

Phi	Theta	Gain . dB
0	-3.1415926536	-8.62366165202744
0	-3.0917261035	-8.69584094884087
0	-3.0418595535	-9.10302442639997
0	-2.9919930034	-9.82458561227632
0	-2.9421264534	-10.8213811979271
0	-2.8922599033	-12.014297050855
0	-2.8423933532	-13.2586465087163
0	-2.7925268032	-14.333139421191
0	-2.7426602531	-15.063083182059
0	-2.6927937031	-15.4484602132489
0	-2.642927153	-15.6269537199466
0	-2.593060603	-15.7383560825423
0	-2.5431940529	-15.8050345756422
0	-2.4933275028	-15.7530136561381
0	-2.4434609528	-15.5062855687672
0	-2.3935944027	-15.0953549137693
0	-2.3437278527	-14.6435446775013
0	-2.2938613026	-14.2970103285068
0	-2.2439947526	-14.177074298881
0	-2.1941282025	-14.3439552875015
0	-2.1442616525	-14.8308493951706
0	-2.0943951024	-15.6150132492375
0	-2.0445285523	-16.6191642459881
0	-1.9946620023	-17.6688484066535
0	-1.9447954522	-18.5154756365067
0	-1.8949289022	-18.9919500810525
0	-1.8450623521	-19.1721651416677
0	-1.7951958021	-19.2757974968351
0	-1.745329252	-19.4360011894068
0	-1.6954627019	-19.5601571989893
0	-1.6455961519	-19.3452766973513
0	-1.5957296018	-18.5440676107128
0	-1.5458630518	-17.2890969191687
0	-1.4959965017	-15.9426497250674
0	-1.4461299517	-14.7805982745515
0	-1.3962634016	-13.9184726814042
0	-1.3463968515	-13.3937794493489
0	-1.2965303015	-13.1748772355934
0	-1.2466637514	-13.2013708739099
0	-1.1967972014	-13.3485637514299
0	-1.1469306513	-13.4192414034719
0	-1.0970641013	-13.205717499559
0	-1.0471975512	-12.5987127109769
0	-0.9973310011	-11.6783950692407
0	-0.9474644511	-10.616040743997
0	-0.897597901	-9.56616301766983
0	-0.847731351	-8.60472085069227
0	-0.7978648009	-7.76444657769899
0	-0.7479982509	-7.04794277586415
0	-0.6981317008	-6.45318394383218
0	-0.6482651507	-5.9667075916645
0	-0.5983986007	-5.58017722117976
0	-0.5485320506	-5.28097785047709
0	-0.49866550057	-5.05421957383177
0	-0.44879895051	-4.87966857977729
0	-0.39893240046	-4.73128301354809
0	-0.3490658504	-4.58258834710126
0	-0.29919930034	-4.41680551038085
0	-0.24933275028	-4.22597369513838
0	-0.19946620023	-4.02058596359351
0	-0.14959965017	-3.82545138645112
0	-0.09973310011	-3.66567567045033
0	-0.049866550057	-3.56976285412099
0	0	-3.55216555668367
0	0.049866550057	-3.6220911415248
0	0.09973310011	-3.77227666994697
0	0.14959965017	-3.98384699532458
0	0.19946620023	-4.23195542140397
0	0.24933275028	-4.4859166042941
0	0.29919930034	-4.72474058601446
0	0.3490658504	-4.93614567250327
0	0.39893240046	-5.12450178340181
0	0.44879895051	-5.31029141120717
0	0.49866550057	-5.52016993707952
0	0.5485320506	-5.78142199571393
0	0.5983986007	-6.11254739333143
0	0.6482651507	-6.53248893346556
0	0.6981317008	-7.05539032526081
0	0.7479982509	-7.69162810866443
0	0.7978648009	-8.44883484741269
0	0.847731351	-9.33204741515199
0	0.897597901	-10.3260267511623
0	0.9474644511	-11.388348678255
0	0.9973310011	-12.4147612474326
0	1.0471975512	-13.240042228539
0	1.0970641013	-13.7213734894574
0	1.1469306513	-13.8498564566678
0	1.1967972014	-13.7864769943653
0	1.2466637514	-13.7453651853279
0	1.2965303015	-13.8999888480427
0	1.3463968515	-14.36962194695
0	1.3962634016	-15.2261503633954
0	1.4461299517	-16.5067822338483
0	1.4959965017	-18.2133323104106
0	1.5458630518	-20.169705313086
0	1.5957296018	-21.7859070167653
0	1.6455961519	-22.2409447762465
0	1.6954627019	-21.608305070754
0	1.745329252	-20.6527937306993
0	1.7951958021	-19.746917023242
0	1.8450623521	-18.8447565690521
0	1.8949289022	-17.8046274844863
0	1.9447954522	-16.6022472757409
0	1.9946620023	-15.3636247367574
0	2.0445285523	-14.2551565211349
0	2.0943951024	-13.4049903089282
0	2.1442616525	-12.8802891377862
0	2.1941282025	-12.7215947569621
0	2.2439947526	-12.9462594428372
0	2.2938613026	-13.5618761907096
0	2.3437278527	-14.5581605295633
0	2.3935944027	-15.8692938921833
0	2.4434609528	-17.3093702175334
0	2.4933275028	-18.5261300605735
0	2.5431940529	-19.1746918289001
0	2.593060603	-19.2907084491162
0	2.642927153	-19.1834601700269
0	2.6927937031	-18.9743704264551
0	2.7426602531	-18.4293521135669
0	2.7925268032	-17.2319672684049
0	2.8423933532	-15.4834906707538
0	2.8922599033	-13.5968635300141
0	2.9421264534	-11.9014055338408
0	2.9919930034	-10.5320328694928
0	3.0418595535	-9.53027287761252
0	3.0917261035	-8.89789439711013
0	3.1415926536	-8.62366165202744
0.049087385212	-3.1415926536	-8.62275549066707
0.049087385212	-3.0917261035	-8.68307775795638
0.049087385212	-3.0418595535	-9.07304953134453
0.049087385212	-2.9919930034	-9.77120509558433
0.049087385212	-2.9421264534	-10.7350651874342
0.049087385212	-2.8922599033	-11.8779651561936
0.049087385212	-2.8423933532	-13.0475738697772
0.049087385212	-2.7925268032	-14.0356991886351
0.049087385212	-2.7426602531	-14.6870308408954
0.049087385212	-2.6927937031	-15.0210163361231
0.049087385212	-2.642927153	-15.1790803908434
0.049087385212	-2.593060603	-15.3004041983232
0.049087385212	-2.5431940529	-15.4068343558803
0.049087385212	-2.4933275028	-15.4365885751727
0.049087385212	-2.4434609528	-15.3004221093207
0.049087385212	-2.3935944027	-15.0060745652704
0.049087385212	-2.3437278527	-14.649324419749
0.049087385212	-2.2938613026	-14.3742881818248
0.049087385212	-2.2439947526	-14.3016821554243
0.049087385212	-2.1941282025	-14.5044577284937
0.049087385212	-2.1442616525	-15.022275973727
0.049087385212	-2.0943951024	-15.8429600345985
0.049087385212	-2.0445285523	-16.9081864589603
0.049087385212	-1.9946620023	-18.0563722975051
0.049087385212	-1.9447954522	-19.0444496754
0.049087385212	-1.8949289022	-19.6742424771288
0.049087385212	-1.8450623521	-19.9757816865251
0.049087385212	-1.7951958021	-20.1488982699102
0.049087385212	-1.745329252	-20.3095992355854
0.049087385212	-1.6954627019	-20.323617345463
0.049087385212	-1.6455961519	-19.8683956546043
0.049087385212	-1.5957296018	-18.7961748349231
0.049087385212	-1.5458630518	-17.3658756188473
0.049087385212	-1.4959965017	-15.9562417873824
0.049087385212	-1.4461299517	-14.7905347293098
0.049087385212	-1.3962634016	-13.959898233107
0.049087385212	-1.3463968515	-13.4687181509779
0.049087385212	-1.2965303015	-13.2900688126274
0.049087385212	-1.2466637514	-13.3490215118028
0.049087385212	-1.1967972014	-13.506666360035
0.049087385212	-1.1469306513	-13.5613196317516
0.049087385212	-1.0970641013	-13.3009062439475
0.049087385212	-1.0471975512	-12.6457291850953
0.049087385212	-0.9973310011	-11.6919009314724
0.049087385212	-0.9474644511	-10.6253514331117
0.049087385212	-0.897597901	-9.58540377849036
0.049087385212	-0.847731351	-8.64096582496358
0.049087385212	-0.7978648009	-7.817481953767
0.049087385212	-0.7479982509	-7.11699853366337
0.049087385212	-0.6981317008	-6.53078342176825
0.049087385212	-0.6482651507	-6.04944728173206
0.049087385212	-0.5983986007	-5.66190540550959
0.049087385212	-0.5485320506	-5.35999766056057
0.049087385212	-0.49866550057	-5.12795860397244
0.049087385212	-0.44879895051	-4.94470880802247
0.049087385212	-0.39893240046	-4.78833922209639
0.049087385212	-0.3490658504	-4.6323731169817
0.049087385212	-0.29919930034	-4.45797475765414
0.049087385212	-0.24933275028	-4.25848200432729
0.049087385212	-0.19946620023	-4.04701914778301
0.049087385212	-0.14959965017	-3.84332531678261
0.049087385212	-0.09973310011	-3.67771202660479
0.049087385212	-0.049866550057	-3.57459892880223
0.049087385212	0	-3.55288711275621
0.049087385212	0.049866550057	-3.6178178183372
0.049087385212	0.09973310011	-3.76422636744741
0.049087385212	0.14959965017	-3.97295190281315
